Job title,Company name,Location,Job skills,links
Sales & Marketing Data Analyst,GPS -,"Heliopolis, Cairo, Egypt ",Full TimeOn-siteExperienced · 2 - 5 Yrs of Exp · Marketing/PR/Advertising · Analyst/Research · Sales/Retail · Data Analysis · Market Research · Marketing · Sales · Analysis · Business Intelligence · Power BI,/jobs/p/6357bgijgsem-sales-marketing-data-analyst-gps-cairo-egypt,
Data Analyst,Sprix -,"New Cairo, Cairo, Egypt ",Full TimeHybridExperienced · 2 - 4 Yrs of Exp · Analyst/Research · Microsoft Excel · Power BI · Python,/jobs/p/485eob7kytt8-data-analyst-sprix-cairo-egypt,
Data Analyst,Zinox&Master -,"Obour City, Cairo, Egypt ",Full TimeOn-siteExperienced · 2 - 3 Yrs of Exp · males_only · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Analysis · Computer Science · Information Technology (IT) · Data Analysis · Power BI · Tableau · Python,/jobs/p/fzv9lnkvfsdn-data-analyst-zinoxmaster-cairo-egypt,
Data Analyst,Confidential -,"Misratah, Libya ",Full TimeOn-siteExperienced · 3+ Yrs of Exp · males_only · Marketing/PR/Advertising · Analyst/Research · Data Analysis · Market Research · Microsoft Excel · Microsoft Power BI · SQL · Google Analytics · Data visualization · Reporting Analysis,/jobs/p/xisk1v9zxbg0-data-analyst-misratah-libya,
Supply Chain data Analyst,Dora Management Solutions -,"Sheraton, Cairo, Egypt ",Full TimeOn-siteExperienced · 3 - 6 Yrs of Exp · Logistics/Supply Chain · Analyst/Research · Sales/Retail · Supply Chain Analysis · Data Analytics · Advanced Excel · Cross-functional Collaboration · Reporting and Presentation · Inventory Management · Problem Solving,/jobs/p/swjo9ibpajco-supply-chain-data-analyst-dora-management-solutions-cairo-egypt,
Senior Financial Analyst,Roya Developments -,"Heliopolis, Cairo, Egypt ",Full TimeOn-siteExperienced · 5 - 8 Yrs of Exp · Accounting/Finance · Analyst/Research · Financial Analysis · Budgeting and Forecasting · Financial Modeling · Data Interpretation · Financial Reporting · Excel (Advanced) · Problem Solving · Communication,/jobs/p/w0tmvmeiewy6-senior-financial-analyst-roya-developments-cairo-egypt,
Financial Analyst,Zworld Holding -,"Cairo, Egypt ",Full TimeOn-siteExperienced · 3 - 7 Yrs of Exp · Accounting/Finance · Analyst/Research · Finance · Financial Analysis · Financial Modeling · Budgeting · Forecasting · Data Analysis · Microsoft Excel · SQL,/jobs/p/pnvpraw6rzge-financial-analyst-zworld-holding-cairo-egypt,
Financial Analyst,Lotus For Food Industries -,"Kerdasa, Giza, Egypt ",Full TimeOn-siteExperienced · 3 - 7 Yrs of Exp · males_only · Accounting/Finance · Analyst/Research · Accounting · Financial Analysis · Financial Modeling · Budgeting · Forecasting · Microsoft Excel · Data Analysis · GAAP,/jobs/p/bso3duwapqrj-financial-analyst-lotus-for-food-industries-giza-egypt,
Retail Performance Analyst (Fashion Retail),Dockland Clothing Company    -,"Cairo, Egypt ",Full TimeOn-siteExperienced · 3 - 7 Yrs of Exp · Analyst/Research · Sales/Retail · Fashion · Analysis · Data Analysis · Fashion · Fashion Retail · Microsoft Excel · Planning · Retail,/jobs/p/7soqc4iudasl-retail-performance-analyst-fashion-retail-dockland-clothing-company-cairo-egypt,
Software Business Analyst,Ibn Sina Pharma -,"New Cairo, Cairo, Egypt ",InternshipHybridEntry Level · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Analysis · Business Administration · Business Analysis · Computer Science · Data Analysis · Engineering · Information Technology (IT),/internship/kdypto1qhk9q-software-business-analyst-ibn-sina-pharma-cairo-egypt,
Data Analyst,Ibn Sina Pharma -,"New Cairo, Cairo, Egypt ",Full TimeOn-siteEntry Level · 1 - 3 Yrs of Exp · IT/Software Development · Analyst/Research · Analysis · analytical · Commerce · BI · Communication skills · Computer Science · Data Analysis · Information Technology (IT),/jobs/p/rfahe6atbsw0-data-analyst-ibn-sina-pharma-cairo-egypt,
MIS / Data Analyst,GOLD ERA   -,"Abbassia, Cairo, Egypt ",Full TimeOn-siteExperienced · 5 - 10 Yrs of Exp · Accounting/Finance · Analyst/Research · Sales/Retail · MIS · Data Analysis · Business Analysis · Power BI,/jobs/p/xiclpsglupxt-mis-data-analyst-gold-era-cairo-egypt,
Data Analyst – Analytics & Knowledge Delivery,EpsilonAI -,"Nasr City, Cairo, Egypt ",Full TimeHybridEntry Level · 0 - 3 Yrs of Exp · IT/Software Development · Analyst/Research · Data Analysis · Database SQL Server · MySQL · Data Analytics · Big Data Analytics · Microsoft Excel · Power BI · Microsoft Power BI,/jobs/p/d6wrnnj6ofcu-data-analyst-analytics-knowledge-delivery-epsilonai-cairo-egypt,
Business Analyst / (Assiut),Informatique Education -,"Assiut, Egypt ",Full TimeOn-siteEntry Level · 2 - 3 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Analysis · Business Analysis · Computer Science · Information Technology (IT) · Information Analysis · Microsoft Excel · Agile,/jobs/p/87gum36mxt9q-business-analyst-assiut-informatique-education-assiut-egypt,
Business Analyst,Ibn Sina Pharma -,"New Cairo, Cairo, Egypt ",InternshipHybridEntry Level · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Analysis · Business Analysis · Computer Science · Data Analysis · Information Technology (IT) · Python · SQL,/internship/u1p4bogldozr-business-analyst-ibn-sina-pharma-cairo-egypt,
